ScientificName,NuContAvailable,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,AvDryMatter%
Andropogon sp.,N,Forage,ton,2000,20,1.4,#DIV/0!,#DIV/0!,"2,000",,,,80
Andropogon sp.,N,Forage,ton,2000,20,1.1,#DIV/0!,#DIV/0!,"2,000",,,,80
Andropogon sp.,N,Forage,ton,2000,20,0.7,#DIV/0!,#DIV/0!,"2,000",,,,80
Bertholletia excelsa,"N,P,K",Tree and fruit,lb of nut,1,3.34,2.373680944,0.620732464,0.620732464,1,,,,96.66
Artocarpus altilis,"N,P,K",Tree and fruit,lb of fruit ,1,70.65,0.58330494,0.102214651,1.669505963,15,,,,29.35
Brassica oleracea var. italica,N,Vegetable,lb of stem ,1,54.9,3.376,#DIV/0!,#DIV/0!,23,,45.1,,45.1
Brassica oleracea var. italica,"N,P,K",Vegetable,lb of stem ,1,89.7,5.646666667,0.753333333,3.545,23,,10.9,,10.3
Bromus sp.,"N,P,K",Forage,ton,2000,64.4,2.144,0.285,2.19,"2,000",,36,35.2,35.6
Bromus sp.,N,Forage,ton,2000,72.6,1.792,#DIV/0!,#DIV/0!,"2,000",,27.1,27.7,27.4
Bromus sp.,"N,P,K",Forage,ton,2000,44,1.024,0.26,1.25,"2,000",,,,56
Bromus sp.,"N,P,K",Forage,ton,2000,8.93,1.530666667,0.16,1.64,"2,000",,91.4,90.8,91.07
Bromus sp.,"N,P,K",Forage,ton,2000,7.1,1.736,0.325,1.91,"2,000",,,92.9,92.9
Bromus sp.,"N,P,K",Forage,ton,2000,8.63,1.061333333,0.086666667,1.9,"2,000",,90.1,92,91.37
Bromus sp.,"N,K",Forage,cwt,100,55.8,1.552,#DIV/0!,0.93,100,,44.2,,44.2
Bromus inermis,"N,P,K",Forage,ton,2000,67.6,2.176,0.32,3.16,"2,000",,36.2,27,32.4
Bromus inermis,"N,P,K",Forage,ton,2000,71.3,1.885777778,0.28,2.33,"2,000",30,27.1,29,28.7
Bromus inermis,"N,P,K",Forage,ton,2000,45.5,0.836264151,0.19245283,0.34,"2,000",53,55.1,53.9,54.5
Bromus inermis,N,Forage,ton,2000,70,2.24,#DIV/0!,#DIV/0!,"2,000",,30,,30
Bromus inermis,N,Forage,ton,2000,74.7,3.024,#DIV/0!,#DIV/0!,"2,000",25,,25.6,25.3
Bromus inermis,"N,P,K",Forage,ton,2000,10.48,2.027342342,0.230990991,2.203761261,"2,000",88.8,89.7,89.6,89.53
Bromus inermis,"N,K",Forage,ton,2000,10.63,1.661863014,#DIV/0!,1.43,"2,000",87.6,90.1,90.4,89.37
Bromus inermis,"N,P,K",Forage,ton,2000,6.83,0.98,0.192765957,2.305,"2,000",94,92.9,92.6,93.17
Bromus inermis,"N,P,K",Forage,ton,2000,12.4,1.968,0.28,1.99,"2,000",,87.6,87.6,87.6
Bromus inermis,"N,P,K",Forage,ton,2000,8.8,3.152,0.46,3.41,"2,000",,,91.2,91.2
Bromus inermis,N,Forage,ton,2000,9.7,1.93145515,#DIV/0!,#DIV/0!,"2,000",90.3,90.3,,90.3
Bromus sp.,"N,P,K",Forage,ton,2000,12.9,1.192,0.35,2.32,"2,000",,85.4,88.8,87.1
Brassica oleracea var.gemmifera,"N,P,K",Vegetable,lb of fruit ,1,86.6,4.981333333,0.5125,3.25,25,,14.8,,13.4
Fagopyrum sp.,"N,P,K",Cereal and oil,bu,48,12.2,1.937932723,0.360568182,0.510340909,48,88,87.7,87.9,87.8
Fagopyrum sp.,"N,P,K",Cereal and oil,ton,2000,11.32,0.791639892,0.101286682,2.619334086,"2,000",88.6,88.3,88.4,88.68
Juglans cinerea,"N,P,K",Tree and fruit,lb of nut,1,3.34,4.121663563,0.461411132,0.435547279,1,,,,96.66
Brassica oleracea,"N,P,K",Vegetable,lb of leaf,1,90.8,3.454468085,0.354787234,2.727730497,50,9.4,,9.2,9.2
Brassica oleracea,"N,P,K",Vegetable,lb of leaf,1,91.7,3.034245614,0.384912281,3.163157895,50,7.6,8.7,8.6,8.3
Brassica oleracea,"N,P",Vegetable,lb of leaf,1,85.75,2.664556962,0.21,#DIV/0!,1,15.8,14.8,12.4,14.25
Brassica oleracea,"N,P,K",Vegetable,lb of leaf,1,93,3.085714286,0.485714286,2.928571429,40,,,,7
Brassica oleracea,"N,P,K",Vegetable,lb of leaf,1,92,2.8,0.525,2.375,50,,,,8
Brassica oleracea,"N,P,K",Vegetable,lb of leaf,1,92,2.4,0.425,2.75,50,,,,8
Phalaris arundinacea,"N,P,K",Forage,ton,2000,75.8,2.424,0.33,3.64,"2,000",,25.4,,24.2
Phalaris arundinacea,"N,P",Forage,ton,2000,76.1,2.12,0.2,#DIV/0!,"2,000",,25.5,22.3,23.9
Prunus avium,"N,P,K",Tree and fruit,lb of fruit ,1,81.38,1.073960499,0.098752599,1.164241164,18,,,,18.62
Castanea mollissima,"N,P,K",Tree and fruit,lb of fruit ,1,43.95,1.198929527,0.171275647,0.79750223,18,,,,56.05
Castanea sativa,"N,P,K",Tree and fruit,lb of fruit,1,48.65,0.754040896,0.181110029,1.008763389,1,,,,51.35
Castanea crenata,"N,P,K",Tree and fruit,lb of fruit,1,61.41,0.932884167,0.186576833,0.852552475,1,,,,38.59
Cichorium,N,Forage,ton,2000,82.6,0.0352,#DIV/0!,#DIV/0!,"2,000",,17.4,,17.4
Allium schoenoprasum,"N,P,K",Vegetable,lb of leaf,1,92,5.6,0.6375,3.125,1,,,,8
"Trifolium sp., Phleum pratense","N,P,K",Forage,ton,2000,11.1,1.488,0.17,1.81,"2,000",,88.9,,88.9
Phalaris arundinacea,"N,P",Forage,ton,2000,8.25,2.64,0.24,#DIV/0!,"2,000",,91.7,91.8,91.75
Brassica sp.,"N,P,K",Cereal and oil,cwt,100,8.93,3.888736648,0.62,0.98,100,90.5,90.5,92.2,91.07
Brassica sp.,N,Cereal and oil,lb straw/cwt grain,236,20.3,0.56,#DIV/0!,#DIV/0!,,,79.7,,79.7
Averrhoa carambola,"N,P,K",Tree and fruit,lb of fruit ,1,90.92,0.95154185,0.176211454,1.795154185,22,,,,9.08
Carissa macrocarpa,"N,P,K",Tree and fruit,lb of fruit,1,84.17,0.505369551,0.044219836,1.642451042,1,,,,15.83
Daucus carota ssp. sativus,"N,P,K",Vegetable,lb of root,1,88,1.510773109,0.328355742,2.430168067,25,11.9,12.9,11.7,12
Phalaris arundinacea,"N,P",Forage,ton,2000,70,1.248,0.2,#DIV/0!,"2,000",,30,,30
Phalaris arundinacea,"N,P,K",Forage,ton,2000,74.7,1.984,0.28,2.4,"2,000",,27.7,22.9,25.3
Phalaris arundinacea,"N,P,K",Forage,ton,2000,76.25,2.528,0.4,3.31,"2,000",,24.5,23,23.75
Phalaris arundinacea,"N,P,K",Forage,ton,2000,10.97,1.701333333,0.283333333,2.99,"2,000",,88.8,89.3,89.03
Phalaris arundinacea,"N,P,K",Forage,ton,2000,8.1,2.184,0.47,2.62,"2,000",,91.5,92.3,91.9
Phalaris arundinacea,"N,P",Forage,ton,2000,7.9,1.424,0.145,#DIV/0!,"2,000",,91.5,92.7,92.1
Phalaris arundinacea,"P,K",Forage,ton,2000,8.1,#DIV/0!,0.31,2.07,"2,000",,91.9,,91.9
Daucus carota ssp. sativus,"N,P,K",Vegetable,lb of stem and leaf,1,83.83,2.349666667,0.1875,1.875,1,16,16.5,,16.17
Brassica oleracea var. botrytis,"N,P,K",Vegetable,lb of fruit ,1,90.88,4.42631579,0.664473684,3.22,50,,9,,9.13
Apium graveolens var. dulce,"N,P,K",Vegetable,lb of stem ,1,94.55,2.424,0.66,4.8,60,,5.9,,5.45
Apium graveolens var. dulce,"N,P,K",Vegetable,lb of stem ,1,96,2.8,0.675,4,60,,,,4
Beta vulgaris ssp. cicla,"N,P,K",Vegetable,lb of leaf,1,92,3.6,0.575,3,35,,,,8
Annona cherimola,"N,P",Tree and fruit,lb of fruit,1,73.5,0.78490566,0.150943396,#DIV/0!,1,,,,26.5
Prunus cerasus,"N,P,K",Tree and fruit,lb of fruit ,1,86.13,1.153568854,0.10814708,1.247296323,18,,,,13.87
